House_ID,Area (sq. ft.),Bedrooms,Age,Price Category
H001,850,2,15,Affordable
H002,1200,3,10,Expensive
H003,750,2,20,Affordable
H004,1500,4,5,Expensive
H005,950,2,12,Affordable
H006,1800,4,3,Expensive
H007,1100,3,18,Affordable
H008,1350,3,8,Expensive
H009,700,1,25,Affordable
H010,1600,4,7,Expensive
H011,900,2,16,Affordable
H012,1450,3,6,Expensive
H013,800,2,22,Affordable
H014,1700,4,4,Expensive
H015,1000,3,14,Affordable
H016,1250,3,9,Expensive
H017,650,1,28,Affordable
H018,1550,4,6,Expensive
H019,1050,2,11,Affordable
H020,1900,5,2,Expensive
